endTime,artistName,trackName,msPlayed
2022-06-27 11:42,Stromae,L’enfer,148467
2022-06-27 11:42,Poor Man's Poison,Feed the Machine,1283
2022-06-27 11:42,Eve Owen,She Says,693
2022-06-27 11:42,James Blunt,Bonfire Heart,2470
2022-06-27 11:42,Sam Tinnesz,Tear It Down,23
2022-06-27 11:42,Melendi,Desde Que Estamos Juntos,2227
2022-06-27 11:42,Okean Elzy,Місто весни,778
2022-06-27 11:42,Leiva,Lobos,1080
2022-06-27 11:42,The Mamas & The Papas,California Dreamin' - Single Version,1109
2022-06-27 11:42,Marvin Gaye,Ain't No Mountain High Enough,846
2022-06-27 11:42,The Lumineers,Ophelia,359
2022-06-27 11:43,Billie Eilish,my boy,537
2022-06-27 11:43,Alphaville,Forever Young,23
2022-06-27 11:43,Ari Hest,After the Thunder,1368
2022-06-27 11:43,Calle 13,Muerte En Hawaii,1014
2022-06-27 11:43,Guitarricadelafuente,Mil y una noches,779
2022-06-27 11:43,Gang of Youths,Achilles Come Down,2493
2022-06-27 11:43,Vetusta Morla,Valiente,899
2022-06-27 11:44,Tears For Fears,Everybody Wants To Rule The World,23
2022-06-27 11:44,Florence + The Machine,St Jude,825
2022-06-27 11:44,Alphaville,Forever Young,98716
2022-06-27 11:44,Winter Aid,The Wisp Sings,1126
2022-06-27 11:44,Queen,Bohemian Rhapsody - Remastered 2011,23
2022-06-27 11:44,Wolf Larsen,If I Be Wrong,708
2022-06-27 11:44,Family of the Year,Hero - Acoustic,23
2022-06-27 11:44,Lord Huron,The Night We Met,767
2022-06-27 11:44,Arctic Monkeys,Snap Out Of It,1054
2022-06-27 11:44,Sasha Alex Sloan,Dancing With Your Ghost,830
2022-06-27 11:44,Vetusta Morla,Valiente,575
2022-06-27 11:44,Barns Courtney,Never Let You Down,23
2022-06-27 11:44,Sam Tinnesz,Ready Set Let's Go,778
2022-06-27 11:44,Coldplay,Green Eyes,724
2022-06-27 11:45,Isak Danielson,Religion,722
2022-06-27 11:45,Lana Del Rey,Dance Till We Die,697
2022-06-27 11:45,SYML,Where's My Love,23
2022-06-27 11:45,KALEO,I Walk on Water,847
2022-06-27 11:45,The Beatles,Come Together - Remastered 2009,486
2022-06-27 11:45,Two Feet,I Feel Like I'm Drowning,0
2022-06-27 11:45,Tom Rosenthal,Go Solo,1042
2022-06-27 11:45,Lana Del Rey,Don't Let Me Be Misunderstood,927
2022-06-27 11:48,BØRNS,Electric Love,948
2022-06-27 11:48,Coldplay,A Rush of Blood to the Head,3133
2022-06-27 11:48,Cage The Elephant,Aberdeen,716
2022-06-27 11:48,Lorde,Liability,1100
2022-06-27 11:48,Lana Del Rey,Burning Desire,642
2022-06-27 11:48,Måneskin,VENT'ANNI,847
2022-06-27 11:48,Rufus Wainwright,Chelsea Hotel No. 2,3764
2022-06-27 11:48,Isak Danielson,Religion,187729
2022-06-27 11:48,Sam Airey,Stars,6528
2022-06-27 11:48,Green Day,Wake Me up When September Ends,782
2022-06-27 11:48,KALEO,Backbone,0
2022-06-27 11:48,Shawn James,Burn the Witch,1100
2022-06-27 11:48,Karaoke Pro,Way Down We Go (Originally Performed by Kaleo) - Instrumental Version,1385
2022-06-27 11:48,Lana Del Rey,Dance Till We Die,3325
2022-06-27 11:48,Patti Smith,Because the Night,948
2022-06-27 11:48,Josefien,The End of the World,23
2022-06-27 11:48,Sarah Cothran,As the World Caves In,992
2022-06-27 11:48,KALEO,Break My Baby,734
2022-06-27 11:48,Queen,Love Of My Life - Remastered 2011,23
2022-06-27 11:48,Royal Deluxe,Born for This,879
2022-06-27 11:48,The Velvet Underground,Pale Blue Eyes,960
2022-06-27 11:48,Watt White,Eye Of The Storm,712
2022-06-27 11:48,Lana Del Rey,Blue Velvet,754
2022-06-27 11:48,KALEO,Vor í Vaglaskógi,2950
2022-06-27 11:48,Sam Smith,Money On My Mind,23
2022-06-27 11:48,Sam Tinnesz,Wolves,931
2022-06-27 11:48,The Lumineers,My Eyes,831
2022-06-27 12:04,Alex Turner,Piledriver waltz,175682
2022-06-27 17:04,Stromae,L’enfer,189720
2022-06-27 17:05,The Flamingos,I Only Have Eyes for You,30416
2022-06-27 17:05,Klergy,Start a War,5828
2022-06-27 17:08,Arctic Monkeys,No. 1 Party Anthem,220961
2022-06-27 17:12,Blues Saraceno,The Devil You Know,212584
2022-06-27 17:13,Cold War Kids,All This Could Be Yours,45864
2022-06-27 17:13,Will Driving West,The Breakout,4435
2022-06-27 17:16,KALEO,Alter Ego,1207
2022-06-27 17:16,Shouse,Love Tonight,185829
2022-06-27 17:20,Sir Chloe,Michelle,214087
2022-06-27 17:20,Måneskin,Torna a casa,51396
2022-06-27 17:20,KALEO,Vor í Vaglaskógi,928
2022-06-27 17:20,Nothing But Thieves,Forever & Ever More,1625
2022-06-27 17:21,The Cinematic Orchestra,To Build A Home,1509
2022-06-27 17:21,Duncan Laurence,Arcade,1207
2022-06-27 17:21,Alex Turner,Piledriver waltz,1346
2022-06-27 17:21,The White Stripes,Seven Nation Army,0
2022-06-27 17:21,Lana Del Rey,Doin' Time,4411
2022-06-27 17:21,Lana Del Rey,Ultraviolence,3622
2022-06-27 17:21,Coldplay,We Never Change,1021
2022-06-27 17:21,Florence + The Machine,Jenny of Oldstones (Game of Thrones),464
2022-06-27 17:21,Fort Nowhere,The Times They Are A-Changin',1207
2022-06-27 17:24,Coldplay,Up&Up,859
2022-06-27 17:24,SirLofi,Queen of Disaster,195813
2022-06-27 17:24,Lana Del Rey,Ultraviolence,28803
2022-06-27 17:25,Arctic Monkeys,No. 1 Party Anthem,859
2022-06-27 17:25,Sam Tinnesz,Tear It Down,905
2022-06-27 17:25,American Authors,Deep Water,952
2022-06-27 17:25,Marvin Gaye,Ain't No Mountain High Enough,1021
2022-06-27 17:25,My Sun and Stars,Change the World,1184
2022-06-27 17:25,MAMAMOO,Starry Night,928
2022-06-27 17:25,Carlos Rafael Rivera,Beth's Story,952
2022-06-27 17:25,Sam Smith,To Die For,1184
2022-06-27 17:27,Queen,We Are The Champions - Remastered 2011,1857
2022-06-27 17:27,Arctic Monkeys,No. 1 Party Anthem,143452
2022-06-27 17:27,Sam Smith,To Die For,1416
2022-06-27 17:34,Lana Del Rey,The greatest,300360
2022-06-27 17:35,Daughter,Youth,55565
2022-06-27 17:35,7линия,Если бы ты смог,1044
2022-06-27 17:38,Fleurie,Soldier,184018
2022-06-27 17:38,KALEO,Hey Gringo,2948
2022-06-27 17:38,Ella Fitzgerald,"Bewitched, Bothered, And Bewildered",0
2022-06-27 17:42,Taburete,El Último Baile de Dunas Mitchell,200859
2022-06-27 17:43,Sia,Bird Set Free,1184
2022-06-27 17:43,KALEO,My Fair Lady,1044
2022-06-27 17:43,Lana Del Rey,Gods & Monsters,78208
2022-06-27 17:48,Massive Attack,Paradise Circus,297774
2022-06-27 17:49,Taburete,2018: Odisea en el Espacio,65024
2022-06-27 17:49,Imagine Dragons,Radioactive,2739
2022-06-27 17:52,Sam Tinnesz,Legends Are Made,169758
2022-06-27 17:53,Call Me Karizma,Nails,882
2022-06-27 17:53,Hozier,Cherry Wine - Live,2229
2022-06-27 17:53,Holly Humberstone,Drop Dead,44154
2022-06-27 17:54,Call Me Karizma,Nails,101912
2022-06-27 17:54,Hozier,Cherry Wine - Live,1021
2022-06-27 17:55,Hozier,Cherry Wine - Live,417
2022-06-27 17:55,Arctic Monkeys,Why'd You Only Call Me When You're High?,1695
2022-06-27 17:58,Call Me Karizma,Nails,200571
2022-06-27 17:59,Hozier,Cherry Wine - Live,80853
2022-06-27 18:00,Cults,Bad Things,882
2022-06-27 18:00,Sam Smith,Fix You - Live,1927
2022-06-27 18:00,алёна швец.,токсичная,1044
2022-06-27 18:00,Arctic Monkeys,Why'd You Only Call Me When You're High?,71215
2022-06-27 18:01,Lana Del Rey,Wild At Heart,766
2022-06-27 18:01,Family of the Year,Hero,1532
2022-06-27 18:04,KALEO,I Want More,4086
2022-06-27 18:04,Sam Smith,Lay Me Down,975
2022-06-27 18:04,Kodaline,High Hopes,882
2022-06-27 18:04,Måneskin,Torna a casa,1323
2022-06-27 18:04,The Foundations,Build Me Up Buttercup,1787
2022-06-27 18:04,Tom Odell,Heal,882
2022-06-27 18:04,Lana Del Rey,For Free,534
2022-06-27 18:04,Coldplay,Fix You,859
2022-06-27 18:04,Barns Courtney,Champion,4005
2022-06-27 18:04,Blues Saraceno,The Devil You Know,1323
2022-06-27 18:04,Watt White,Eye Of The Storm,1137
2022-06-27 18:04,Lisa Mitchell,Neopolitan Dreams,510
2022-06-27 18:04,Lana Del Rey,Wild At Heart,206750
2022-06-27 18:04,Lana Del Rey,Don't Let Me Be Misunderstood,2159
2022-06-27 18:04,Family of the Year,Hero,928
2022-06-27 18:04,Lana Del Rey,Cruel World,2043
2022-06-27 18:09,Dirty Pretty Things,Bang Bang You're Dead,1532
2022-06-27 18:09,Josefien,The End of the World,975
2022-06-27 18:09,The Foundations,Build Me Up Buttercup,905
2022-06-27 18:09,Watt White,Eye Of The Storm,191378
